loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_history_years,loan_status
21000,36,8.16,659.61,A,10+ years,RENT,76753.72,small_business,NY,9.4,0,0,5,0,39778.52,67.4,32,29,0
6000,36,26.2,242.38,G,< 1 year,RENT,55874.75,debt_consolidation,IL,8.52,0,1,2,0,21977.89,72.43,41,7,0
12500,36,15.59,436.94,F,5 years,MORTGAGE,82771.93,small_business,TX,25.57,0,0,22,2,2342.47,61.71,32,12,0
13500,60,7.53,270.7,A,9 years,RENT,128221.55,vacation,TX,15.94,0,0,13,0,9936.1,6.29,6,9,0
18000,36,24.86,714.34,F,10+ years,MORTGAGE,53259.07,debt_consolidation,NC,19.22,1,0,21,0,2020.89,27.44,6,18,0
3000,60,5.98,57.97,C,6 years,MORTGAGE,53259.5,debt_consolidation,MI,4.25,0,0,15,0,1599.84,37.68,5,11,0
8000,60,20.18,212.75,F,1 year,RENT,131874.55,other,TX,23.05,0,0,8,0,17292.83,38.135000000000005,40,29,0
7500,36,22.72,289.23,F,10+ years,RENT,87879.11,debt_consolidation,NC,16.32,1,1,11,1,18810.34,74.83,44,1,0
19000,36,10.18,614.68,D,5 years,RENT,47347.19,credit_card,IL,3.06,2,2,13,0,81913.9,43.49,23,11,1
9500,60,8.72,195.92,B,7 years,OWN,78533.46,debt_consolidation,CA,20.06,0,2,17,1,12259.36,20.83,57,7,0
38500,36,8.29,1211.61,F,< 1 year,RENT,47490.79,credit_card,FL,12.24,0,4,2,0,81443.1,52.07,49,21,1
34000,36,29.84,1440.38,C,7 years,MORTGAGE,47435.92,debt_consolidation,MI,15.15,0,2,2,0,11875.93,24.95,54,21,1
23500,36,24.0,921.97,B,2 years,RENT,67574.17,debt_consolidation,FL,7.05,1,4,29,0,935.89,33.69,43,9,1
34500,36,13.16,1165.1,C,10+ years,MORTGAGE,23002.54,debt_consolidation,NC,15.56,0,2,14,0,6089.43,38.135000000000005,50,18,0
29000,60,13.72,670.58,B,8 years,MORTGAGE,25274.24,debt_consolidation,NY,2.06,2,5,17,0,7380.5,1.23,56,23,0
20500,36,21.39,776.45,F,9 years,MORTGAGE,45200.17,credit_card,MI,4.85,0,0,22,0,8810.33,27.57,39,25,0
23000,36,16.71,816.7,D,9 years,RENT,36083.26,debt_consolidation,GA,25.91,4,4,15,0,2374.64,22.18,48,7,1
8500,36,12.15,282.93,A,7 years,RENT,70061.15,small_business,MI,12.11,0,0,20,0,64161.25,41.64,10,7,0
31500,36,6.9,971.19,A,1 year,MORTGAGE,38024.58,credit_card,TX,9.53,0,1,12,0,3476.2,62.6,32,20,0
12000,36,24.7,475.22,A,1 year,OTHER,29550.27,debt_consolidation,NY,15.24,0,2,17,0,4729.74,71.21,37,3,1
37000,36,27.26,1515.7,C,5 years,RENT,124595.08,debt_consolidation,GA,18.25,0,2,21,0,7422.23,64.76,32,5,0
26000,36,10.55,845.68,D,8 years,MORTGAGE,53482.61,debt_consolidation,OH,13.29,1,2,18,0,4414.13,45.96,16,9,0
1000,36,7.05,30.9,C,10+ years,RENT,61930.25,credit_card,OH,34.68,0,0,26,0,6971.55,40.29,7,13,0
39000,60,8.41,798.45,C,2 years,MORTGAGE,29366.97,credit_card,FL,16.83,0,3,5,1,15157.9,14.5,54,6,1
23000,60,15.65,555.05,B,1 year,RENT,45606.64,vacation,FL,12.37,0,0,3,0,71889.41,40.79,41,5,0
2500,60,12.83,56.67,C,2 years,MORTGAGE,63288.65,home_improvement,NY,1.38,4,1,18,0,11206.05,87.91,17,22,0
28000,36,7.3,868.4,B,5 years,RENT,33674.74,credit_card,MI,7.21,0,0,17,0,11810.66,32.94,37,26,0
5500,36,16.64,195.11,B,3 years,RENT,72247.21,debt_consolidation,CA,12.73,0,0,9,0,23910.55,30.24,57,8,0
15500,60,10.5,333.16,B,1 year,OWN,44341.69,home_improvement,FL,2.26,0,2,23,0,12264.41,22.53,55,27,0
7500,36,7.14,232.06,A,4 years,RENT,51748.62,credit_card,MI,18.03,1,2,24,1,5916.44,28.06,58,2,0
15500,36,21.62,588.91,F,7 years,OWN,44318.02,car,CA,4.22,2,0,15,0,640.05,42.47,56,22,0
3000,60,19.53,78.7,E,4 years,MORTGAGE,151166.79,other,MI,10.6,0,0,29,0,14015.94,52.0,20,24,0
8000,60,25.75,238.34,D,4 years,RENT,59471.43,credit_card,GA,12.42,2,0,26,0,4598.21,30.27,50,19,0
9000,36,12.91,302.86,C,5 years,MORTGAGE,35282.58,debt_consolidation,OH,29.01,0,1,7,0,12070.64,77.7,52,10,0
24500,36,8.83,777.16,D,8 years,RENT,90334.29,other,PA,36.06,0,0,20,0,1787.86,55.39,19,20,0
38500,36,14.32,1321.83,G,< 1 year,RENT,32518.95,debt_consolidation,NC,21.7,1,0,8,0,10861.06,35.14,43,23,1
13000,60,24.58,378.37,B,1 year,MORTGAGE,66465.07,credit_card,MI,8.06,0,0,7,0,200000.0,15.98,12,23,0
10000,36,11.42,329.38,B,7 years,RENT,22475.14,other,NC,12.14,0,1,13,0,7907.42,19.1,16,4,0
30000,60,11.75,663.55,D,7 years,MORTGAGE,30819.63,debt_consolidation,FL,9.11,0,3,23,0,18126.44,23.93,24,13,0
27000,60,9.12,562.05,C,4 years,MORTGAGE,66067.39,debt_consolidation,PA,10.4,0,2,19,0,70581.99,58.95,7,20,0
20000,36,29.67,845.42,E,4 years,RENT,86615.43,credit_card,CA,10.16,0,0,29,0,30124.66,11.21,13,27,0
3000,60,29.2,95.59,B,5 years,MORTGAGE,65230.61,other,GA,7.01,0,1,14,0,45915.99,36.6,14,18,0
20500,36,21.62,778.88,B,7 years,OTHER,56510.17,medical,PA,18.52,0,1,3,0,21175.78,47.2,11,3,0
29500,36,10.76,962.44,C,3 years,RENT,51505.72,debt_consolidation,FL,20.78,1,2,27,0,13677.96,26.2,14,19,0
39500,36,24.28,1555.51,A,3 years,OWN,28587.9,debt_consolidation,NC,7.46,0,2,26,0,11484.16,38.135000000000005,49,28,0
3500,36,19.81,129.73,A,< 1 year,RENT,41776.03,vacation,GA,7.95,4,1,8,0,773.15,32.6,26,13,0
10000,36,23.86,391.59,B,9 years,MORTGAGE,47556.83,home_improvement,FL,24.08,0,3,11,0,4474.22,34.13,7,14,1
34500,36,26.58,1400.71,A,10+ years,MORTGAGE,101575.85,debt_consolidation,FL,6.99,0,3,9,0,7621.97,46.56,47,3,0
12500,36,13.3,422.98,A,< 1 year,RENT,71097.62,car,FL,17.81,0,0,8,0,16241.24,28.08,23,14,0
10000,36,27.89,413.04,D,6 years,MORTGAGE,24797.05,debt_consolidation,CA,25.92,2,1,26,0,7317.26,51.58,28,21,1
30000,36,27.51,1232.98,C,4 years,OWN,70406.58,home_improvement,NY,5.36,1,0,29,0,9257.86,11.02,27,9,0
31000,36,18.9,1134.77,D,4 years,RENT,49387.81,credit_card,NC,13.29,2,0,20,0,21871.16,41.68,28,14,0
16500,36,22.27,632.45,A,< 1 year,RENT,42682.27,debt_consolidation,NY,8.74,1,1,7,1,25533.01,43.38,11,10,0
23000,60,15.57,554.07,B,1 year,RENT,81294.87,home_improvement,PA,10.98,0,0,6,0,2235.82,38.135000000000005,6,11,0
18000,36,21.55,683.24,A,2 years,RENT,100257.76,debt_consolidation,IL,14.36,0,3,17,0,1933.05,21.28,8,9,0
27500,36,18.95,1007.35,G,4 years,MORTGAGE,95381.51,debt_consolidation,NC,8.84,0,1,3,0,1172.08,61.5,43,11,0
1500,60,13.41,34.45,A,1 year,RENT,39355.51,major_purchase,TX,16.76,3,0,4,0,7927.51,8.78,11,5,0
37500,36,13.41,1270.94,A,10+ years,MORTGAGE,51297.32,home_improvement,FL,18.89,0,1,4,0,4010.1,68.68,40,15,0
23000,36,21.47,872.09,C,6 years,RENT,70659.77,medical,NY,38.81,0,0,18,0,11406.04,18.11,59,18,0
17000,36,28.94,711.84,B,5 years,MORTGAGE,97516.08,credit_card,MI,24.27,0,1,10,0,464.04,54.98,20,12,0
12000,36,10.44,389.69,E,9 years,RENT,47118.12,credit_card,GA,17.99,0,0,9,0,7716.05,18.78,58,2,0
18500,36,15.12,642.4,E,7 years,OTHER,54566.23,debt_consolidation,NY,12.79,0,3,17,0,3536.66,13.56,44,25,1
35000,36,25.24,1396.04,E,< 1 year,MORTGAGE,34435.13,credit_card,OH,11.08,0,2,6,0,1867.75,37.52,30,24,1
36000,36,8.51,1136.6,D,7 years,MORTGAGE,32922.01,debt_consolidation,CA,23.05,0,0,13,0,38631.39,57.53,59,21,0
5000,36,29.86,211.87,A,2 years,MORTGAGE,89882.89,credit_card,NC,10.32,0,0,15,0,8140.03,61.46,39,11,0
25000,60,22.11,692.04,A,7 years,MORTGAGE,117962.26,credit_card,CA,10.5,1,0,17,0,25102.59,21.71,6,18,0
13500,36,27.81,557.02,A,5 years,OTHER,57756.72,debt_consolidation,FL,7.03,0,1,2,0,17925.65,73.92,28,8,0
14000,36,26.03,564.29,D,2 years,RENT,98890.3,small_business,NY,11.05,0,1,21,0,8114.66,36.06,48,23,1
21000,36,24.54,829.86,D,1 year,MORTGAGE,71741.02,debt_consolidation,GA,5.99,4,0,13,0,18037.62,44.2,57,19,1
36500,36,6.31,1115.53,G,4 years,RENT,43366.4,debt_consolidation,PA,13.14,2,0,23,0,19829.78,12.33,48,4,0
3500,36,15.46,122.12,C,< 1 year,RENT,71732.4,credit_card,OH,10.57,0,2,17,2,39324.93,21.4,9,29,0
33500,60,10.45,719.22,B,2 years,MORTGAGE,129187.26,credit_card,TX,13.95,0,1,7,0,1122.27,81.38,21,25,0
31000,60,26.85,943.82,A,3 years,OWN,58811.16,credit_card,PA,12.88,0,2,16,0,10553.58,44.96,58,19,0
34000,36,22.17,1301.47,B,5 years,MORTGAGE,130917.39,home_improvement,NY,19.03,0,0,12,0,83497.94,70.59,38,13,0
33500,60,8.12,681.18,B,7 years,RENT,20000.0,car,OH,13.71,0,2,25,0,1670.35,85.93,36,7,0
39000,36,14.31,1338.81,C,9 years,OWN,90305.28,debt_consolidation,GA,16.81,0,1,3,0,44801.66,74.19,26,17,0
22000,36,7.2,681.31,A,7 years,MORTGAGE,62537.62,major_purchase,GA,16.89,0,0,24,0,3979.97,37.22,59,13,0
13000,36,23.63,507.5,D,5 years,RENT,51559.74,credit_card,CA,13.29,2,0,12,0,33272.19,54.1,45,22,0
31500,36,15.75,1103.56,D,3 years,RENT,62685.18,credit_card,NC,16.17,0,0,6,0,19056.89,55.12,19,26,0
7000,60,11.24,153.04,D,7 years,RENT,22163.8,home_improvement,IL,11.23,0,2,15,0,17162.42,32.66,23,11,0
12500,36,18.18,453.03,F,9 years,RENT,53646.1,home_improvement,PA,27.34,0,1,15,0,45850.36,38.135000000000005,18,9,0
30000,36,6.53,919.88,D,< 1 year,RENT,71578.95,debt_consolidation,TX,13.29,0,2,11,0,7677.76,42.29,6,21,0
39000,60,11.8,863.6,D,3 years,RENT,125360.27,home_improvement,NC,3.24,0,1,23,0,29485.55,20.25,49,17,0
19500,36,9.79,627.29,A,1 year,MORTGAGE,46206.0,debt_consolidation,CA,6.53,0,2,17,0,2966.89,60.33,21,16,0
4500,36,28.3,186.87,F,9 years,RENT,39964.75,debt_consolidation,PA,15.61,0,2,12,0,15913.75,51.32,22,20,0
29500,60,14.74,697.78,B,8 years,RENT,46589.08,credit_card,CA,11.67,0,3,23,0,20083.44,19.28,39,18,0
15500,36,19.82,574.61,C,4 years,MORTGAGE,94627.28,other,NY,13.67,0,1,9,0,5502.4,29.87,11,26,0
10000,36,17.82,360.62,F,5 years,RENT,70571.07,major_purchase,MI,2.77,0,2,15,0,30095.38,21.43,52,18,0
15500,36,21.65,589.15,A,9 years,RENT,45941.31,other,IL,16.8,0,1,11,0,4508.2,59.14,18,11,0
28000,36,12.34,934.55,A,2 years,MORTGAGE,77391.61,credit_card,FL,3.78,0,4,15,0,6451.35,42.45,30,3,0
23500,60,8.46,481.69,B,7 years,MORTGAGE,62852.05,debt_consolidation,MI,26.02,0,0,29,0,45634.76,19.41,16,23,0
19500,60,7.5,390.74,A,3 years,RENT,97180.22,other,NY,8.65,0,0,5,0,15218.85,29.11,53,25,0
9000,36,10.24,291.42,D,7 years,RENT,42149.3,moving,CA,15.21,0,1,11,0,6650.02,30.37,43,23,0
30000,36,17.33,1074.52,B,3 years,RENT,50826.29,major_purchase,FL,6.82,0,3,6,0,5493.6,48.01,21,19,0
19000,60,11.28,415.76,A,2 years,MORTGAGE,49214.62,credit_card,GA,1.49,0,0,7,0,22563.39,62.16,18,29,0
28000,36,16.13,986.19,E,2 years,MORTGAGE,28803.22,credit_card,GA,6.26,0,1,25,0,4648.06,31.18,8,26,0
3500,60,6.22,68.02,A,10+ years,RENT,69429.01,moving,OH,11.0,0,1,12,0,5636.68,38.6,17,23,0
33500,36,20.88,1260.05,B,2 years,RENT,68222.36,debt_consolidation,NY,2.77,0,2,29,0,1552.11,74.76,34,2,0
35000,36,27.01,1429.07,B,2 years,MORTGAGE,60027.42,home_improvement,CA,33.08,2,0,5,0,14518.91,54.63,58,5,0
21500,60,6.67,422.39,A,10+ years,MORTGAGE,53247.52,debt_consolidation,IL,12.98,1,3,14,0,4930.51,61.29,59,10,0
33000,36,10.84,1077.88,A,4 years,MORTGAGE,29504.99,debt_consolidation,GA,7.86,0,0,16,0,143206.48,32.64,59,15,0
5500,60,13.29,125.96,D,7 years,RENT,48517.38,debt_consolidation,NC,21.8,4,0,18,0,8656.55,56.15,21,4,1
20500,36,12.54,686.19,A,3 years,MORTGAGE,50445.19,debt_consolidation,OH,10.93,0,0,28,0,34303.16,48.05,47,18,1
26500,36,6.49,812.08,A,10+ years,MORTGAGE,40089.16,debt_consolidation,GA,18.49,0,0,13,1,15314.79,57.5,50,26,0
12500,60,8.11,254.11,C,8 years,RENT,55235.28,small_business,CA,5.59,0,0,25,0,8026.0,42.41,37,6,1
30000,36,27.86,1238.64,A,5 years,RENT,73278.71,small_business,TX,22.36,0,1,21,0,17359.04,10.08,23,13,0
11000,60,22.93,309.65,B,3 years,MORTGAGE,153751.5,other,CA,6.64,1,0,6,0,13399.46,15.84,11,12,0
26500,36,28.98,1110.21,A,3 years,MORTGAGE,65335.38,major_purchase,FL,12.7,1,2,16,0,13391.72,14.31,9,9,1
40000,36,16.29,1412.01,B,9 years,OWN,68102.91,debt_consolidation,NY,12.53,1,1,5,0,25947.95,57.09,59,25,0
